Start	Chr	End	IC_4_6_K4me3_1	IC_4_6_K4me3_2	IC_6_8_K4me3_1	IC_6_8_K4me3_2	IC_8_10_K4me3_1	IC_8_10_K4me3_2	VC_4_6_K4me3_1	VC_4_6_K4me3_2	VC_68_K4me3_1_1	VC_68_K4me3_2_1	VC_810_K4me3_1_1	VC_810_K4me3_2_1	IC_4_6_K27ac_1	IC_4_6_K27ac_3	IC_6_8_K27ac_1	IC_6_8_K27ac_3	IC_8_10_K27ac_1	IC_8_10_K27ac_2	VC_4_6_K27ac_1	VC_4_6_K27ac_2	VC_68_K27ac_1_1	VC_68_K27ac_2_1	VC_810_K27ac_1_1	VC_810_K27ac_2_1	IC_4_6_K79me3_1	IC_4_6_K79me3_2	IC_6_8_K79me3_1	IC_6_8_K79me3_2	IC_8_10_K79me3_1	IC_8_10_K79me3_2	VC_4_6_K79me3_1	VC_4_6_K79me3_2	VC_68_K79me3_1_1	VC_68_K79me3_2_1	VC_810_K79me3_1_1	VC_810_K79me3_2_1	IC_4_6_K4mono_1	IC_4_6_K4mono_2	IC_6_8_K4mono_1	IC_6_8_K4mono_2	IC_8_10_K4mono_1	IC_8_10_K4mono_2	VC_4_6_K4mono_1	VC_4_6_K4mono_2	VC_68_K4mono_1_1	VC_68_K4mono_2_1	VC_810_K4mono_1_1	VC_810_K4mono_2_1	IC_4_6_K27me3_1	IC_4_6_K27me3_2	IC_6_8_K27me3_2	IC_6_8_K27me3_3	IC_8_10_K27me3_1	IC_8_10_K27me3_2	VC_4_6_K27me3_1	VC_4_6_K27me3_2	VC_68_K27me3_1_1	VC_68_K27me3_2_1	VC_810_K27me3_1_1	VC_810_K27me3_2_1	K27ac_46_TAD	K27ac_68_TAD	K27ac_810_TAD	K27me3_46_TAD	K27me3_68_TAD	K27me3_810_TAD	K27ac_vector	K27me3_vector	Euklidian_dist
16801938	2L	16816391	970	1177	1506	1718	1574	425	793	737	892	944	1779	1818	5548	4462	4892	2506	4690	5039	6386	2795	10678	8153	9972	6545	1295	7791	1555	1347	1871	1046	2245	1115	1327	1578	2299	659	3188	5809	3220	2565	3091	3362	3958	2013	8303	5343	10582	10798	3578	1943	1784	3372	2826	1887	3894	1722	2833	2908	2673	1895	-0.0961596576522226	0.0750240727180986	-0.101146671651456	0.0817353753488974	0.000882237022592117	-0.073396863344485	-0.12228225658558	0.0092207490270045	0.122629411187858
16803779	X	16810144	1261	933	995	1018	1438	1371	2104	3016	2785	2547	3312	2716	3644	3391	3327	1098	2770	3243	4984	2080	7511	6556	6939	5085	583	3043	843	675	990	500	1167	679	743	658	945	263	2958	4729	2986	2244	2527	2400	4378	1791	7433	5594	7246	7465	785	466	193	1023	1117	443	1026	304	659	646	725	447	0.0139852794105192	0.215874045608801	0.147067624002786	0.0710718774332363	0.193759591584177	0.0371540034643842	0.376926949022106	0.301985472481798	0.482979451415035
16806795	3L	16829748	3381	3269	3324	4071	3974	4054	5763	7350	6834	7322	8643	7516	8509	7248	8730	4530	6801	7543	10991	4651	15368	13943	13596	10972	1907	14708	2717	2336	3225	2459	4576	2596	3590	3513	4595	1298	5645	11019	6352	5596	6032	6752	7564	4406	17494	11566	17203	17767	4656	2733	2191	4594	3450	2700	5211	1889	3977	3444	4248	2809	0.00566666718944533	-0.115189225650158	-0.0685175673670637	-0.0256055526868539	-0.00168360738124304	0.0281128572173884	-0.178040125827777	0.000823697149291439	0.178042031222305
16810144	X	16839162	1093	1845	2022	2021	1706	884	1067	1211	1396	1466	2977	2843	7261	5367	6230	2642	5476	6138	9204	4155	13244	10841	12130	9093	1465	12181	2554	2167	2848	2141	3448	1840	2621	3064	3781	1059	5171	9226	5057	4589	5269	5739	7712	4659	16266	11167	17029	17309	5108	1909	2108	5095	3765	2801	5337	2348	4279	3987	4574	3335	0.123221314484601	0.0840562084350526	0.018245499265393	0.0199598482891879	0.108487976555185	0.153180099532926	0.225523022185047	0.281627924377299	0.360797618235684
16816391	2L	16842456	6874	7338	5419	6673	7059	7995	11469	15965	12078	11926	13041	10773	10523	9583	9330	4779	8062	8988	13874	5363	17242	15958	16905	14128	5792	21150	6639	5944	4599	4371	10938	5201	5961	6155	5400	1770	8409	14648	9148	7809	8755	7827	11260	5479	22208	15329	21603	21781	4429	2898	1690	4657	5011	2086	5253	1551	3823	3222	3755	2394	-0.077245448873195	-0.0305250058882402	0.022609263378789	-0.0794171876034862	0.0917142431770536	0.19678288529642	-0.0851611913826462	0.209079940869988	0.225758388973498
16829748	3L	16842286	706	1099	1294	1428	628	504	791	810	895	902	1893	1760	3509	2607	2978	1920	2752	2921	4368	1954	6587	5541	6057	4725	1101	7654	1544	1273	1229	1154	2423	1180	1701	1715	2418	660	2379	4515	2772	2667	2731	3111	4002	2072	8639	5756	9209	9087	2903	1878	1247	3511	2128	1913	3854	1531	2960	2307	3020	2258	0.0860865517918752	0.160300958118325	0.0774418439750093	0.28590205659053	0.0906608455261716	0.122919213715571	0.32382935388521	0.499482115832273	0.595271227655088
16840067	X	16846042	265	303	409	464	464	351	810	487	375	488	1301	1159	1706	1570	1602	734	1471	1585	2784	1214	4055	3351	3724	2675	448	2982	397	570	431	479	715	469	656	693	952	282	1687	2923	1357	1105	1412	1412	3554	1391	5490	3879	4965	5079	660	628	543	1051	544	517	1067	439	803	811	719	488	0.308289966001917	0.342529025938451	0.209932782990729	0.591903244180689	-0.128888042016704	-0.131925275101276	0.860751774931096	0.331089927062709	0.922233244819022
16842456	2L	16849676	487	752	675	770	556	253	433	375	491	443	1013	963	2634	2727	2412	933	2073	2270	3946	1519	4795	4444	4146	3242	505	4231	1045	568	1092	522	1071	578	793	947	1312	313	1756	2748	1525	1587	1539	1452	2433	1246	4725	3178	4300	4311	1554	743	622	1714	1399	880	1831	653	1399	1395	1393	972	0.00798484300694887	0.0757555132705264	-0.0816333628603555	0.037404121866798	0.203393732025988	0.0748770058436758	0.00210699341711983	0.315674859736462	0.315681891293902
16844877	3L	16853929	6532	6340	4522	5867	10489	10988	15365	17603	13970	15313	15043	12981	5320	5230	5510	3074	3644	3902	7064	2552	8614	8772	7878	6305	4186	12036	4907	3450	4176	4456	6323	3232	5072	4707	3725	1178	5415	8323	5358	4059	4777	3458	6394	2622	10454	7786	10343	10634	1912	940	494	1472	977	699	1787	488	1235	1072	1258	583	-0.169837997527831	-0.200079464553274	0.0639548761519976	-0.466433957182512	0.190768480511993	-0.0109668464932264	-0.305962585929107	-0.286632323163746	0.419250751544553
16846042	X	16881029	1464	1966	2328	2625	1649	770	1261	1349	1447	1478	3340	3272	6876	5413	5628	3228	5805	5974	7876	3526	12310	9147	11920	8389	1625	13290	3176	2241	3328	1789	3610	2066	2486	2725	4067	1099	4573	8623	4644	3952	4845	5239	6170	3466	12595	8286	15264	15483	5521	2759	2726	5530	3226	2879	6307	2723	4548	4382	4611	3081	-0.071578109597939	0.0600434725732418	-0.073333062781593	0.134311428727667	-0.0235504574690687	0.0612265926615493	-0.0848676998062901	0.171987563920147	0.191786987602385
