"IC_1"	"IC_2"	"VC_1"	"VC_2"
139.583008224357	230.265462038118	232.675898002666	235.631767384101
212.733461732309	283.226518306885	313.34819840505	299.894976670674
303.798312017719	183.061042320304	225.033259017177	208.855430181362
37.3216599530367	212.995552385259	232.675898002666	249.019935985471
104.500647868503	168.093787287826	74.7280256358926	74.9737441676686
357.541502350092	385.118985258753	326.93511215703	364.158185957247
94.7970162807133	115.132731019059	83.2198467308804	96.3948139298596
138.836575025297	267.107935964217	315.895744733546	305.250244111222
871.087543303877	738.000805832168	721.804793073963	741.704540515864
460.549283820473	493.919416071763	500.168262494782	385.579255719438
131.372243034689	90.9548575050566	98.5051247018585	112.460616251503
103.754214669442	142.188922808538	207.200434717702	176.723825538076
85.8398178919845	97.2871577111049	106.996945796846	166.01329065698
260.505186472196	200.906615628258	216.541437922189	224.921232503006
165.708170191483	141.037595498347	152.85277970978	128.526418573146
354.555769553849	409.296858772755	292.967827777079	273.118639467936
103.007781470381	240.627407829833	214.843073703191	200.822529020541
182.129700570819	230.841125693213	206.351252608204	147.269854615063
944.237996811829	970.568922490668	701.424422445992	677.441331229291
587.442927660798	432.323404976567	339.672843799512	240.987034824649
180.636834172698	202.057942938449	225.033259017177	195.467261579993
575.499996475826	608.476483435727	526.492907889244	602.467587061623
1283.1186691854	767.935315897124	727.749067840455	739.02690679559
463.535016616716	306.253064510697	307.403923638558	275.796273188209
35.0823603558545	172.123432873493	135.869137519805	88.361912769038
112.711413058171	181.909715010113	189.367610418228	206.177796461089
501.603109768814	519.824280551052	458.558339129341	559.625447537241
135.104409029993	302.799082580125	246.262811754646	198.144895300267
300.066146022415	302.22341892503	316.744926843045	297.217342950401
195.565498153912	198.603961007877	277.682549806101	219.565965062458
123.161477845021	172.123432873493	46.7050160224329	69.6184767271208
48.5181579389478	166.942459977636	148.606869162287	131.20405229342
231.394291708828	177.304405769351	184.272517761235	224.921232503006
421.734757469315	375.332703122132	417.7975978734	436.454296404642
355.30220275291	387.421639879134	384.679495602947	356.125284796426
102.261348271321	143.340250118729	151.154415490783	147.269854615063
231.394291708828	359.214120779464	343.069572237507	361.480552236974
120.175745048778	168.669450942921	185.121699870734	176.723825538076
169.440336186787	156.58051418592	122.282223767824	203.500162740815
448.606352635501	305.677400855602	286.174370901089	302.572610390948
843.46951493863	1031.01360627567	867.864115907753	773.836145159151
939.759397617465	948.118039941951	781.247540738878	709.572935872578
638.200385196928	440.958359802996	397.417227245429	380.223988278891
496.378077375389	767.935315897124	581.689745006664	575.691249858884
